label,key
rh_Lat_Fis-post,right_hemisphere_posterior_ramus_of_the_lateral_sulcus.combat
rh_S_central,right_hemisphere_central_sulcus.combat
rh_S_circular_insula_ant,right_hemisphere_anterior_segment_of_the_circular_sulcus_of_the_insula.combat
rh_S_circular_insula_inf,right_hemisphere_inferior_segment_of_the_circular_sulcus_of_the_insula.combat
rh_S_circular_insula_sup,right_hemisphere_superior_segment_of_the_circular_sulcus_of_the_insula.combat
rh_S_front_inf,right_hemisphere_inferior_frontal_sulcus.combat
rh_S_front_middle,right_hemisphere_middle_frontal_sulcus.combat
rh_S_front_sup,right_hemisphere_superior_frontal_sulcus.combat
rh_S_interm_prim-Jensen,right_hemisphere_sulcus_intermedius_primus.combat
rh_S_intrapariet_and_P_trans,right_hemisphere_intraparietal_sulcus_and_transverse_parietal_sulci.combat
rh_S_oc_middle_and_Lunatus,right_hemisphere_middle_occipital_sulcus_and_lunatus_sulcus.combat
rh_S_oc_sup_and_transversal,right_hemisphere_superior_occipital_sulcus_and_transverse_occipital_sulcus.combat
rh_S_occipital_ant,right_hemisphere_anterior_occipital_sulcus_and_preoccipital_notch.combat
rh_S_oc-temp_lat,right_hemisphere_lateral_occipito_temporal_sulcus.combat
rh_S_orbital_lateral,right_hemisphere_lateral_orbital_sulcus.combat
rh_S_orbital-H_Shaped,right_hemisphere_orbital_sulci.combat
rh_S_postcentral,right_hemisphere_postcentral_sulcus.combat
rh_S_precentral-inf-part,right_hemisphere_inferior_part_of_the_precentral_sulcus.combat
rh_S_precentral-sup-part,right_hemisphere_superior_part_of_the_precentral_sulcus.combat
rh_S_temporal_inf,right_hemisphere_inferior_temporal_sulcus.combat
rh_S_temporal_sup,right_hemisphere_superior_temporal_sulcus.combat
rh_S_temporal_transverse,right_hemisphere_transverse_temporal_sulcus.combat
Left-Thalamus-Proper,left_thalamus_proper.combat
Right-Thalamus-Proper,right_thalamus_proper.combat
Left-Hippocampus,left_hippocampus.combat
Right-Putamen,right_putamen.combat
Right-Amygdala,right_amygdala.combat
Left-Putamen,left_putamen.combat
Right-VentralDC,right_ventraldc.combat
Left-VentralDC,left_ventraldc.combat
Right-Hippocampus,right_hippocampus.combat
Left-Amygdala,left_amygdala.combat
Left-Pallidum,left_pallidum.combat
Right-Pallidum,right_pallidum.combat
Left-Caudate,left_caudate.combat
Right-Caudate,right_caudate.combat
